Feature,real,fake,MeanDecreaseAccuracy,MeanDecreaseGini
kim,9.613187049221164,3.3423993699056123,10.804652006520286,9.8613917704104
reflect,4.741328658279583,10.604704517410614,10.771177934697151,15.310698147818862
acknowledg,6.311263782721247,10.41290477506628,10.752204112151276,11.277633402095038
highlight,5.607076540606976,10.628637019852114,10.742020663881894,12.841678703056576
air,5.527353755520012,10.909181562586385,10.714598938753326,15.117221565276097
blake,8.94220397901425,7.103635437716583,10.640640822706825,6.676612651950826
serv,7.50018182123168,9.457862499975136,10.604799875114477,14.912920071199563
peopl,5.506623471669356,9.62906061959458,10.575066787804989,13.166174828422294
mention,5.7317406200259695,9.956823882124803,10.522826646701716,9.655046420463972
charact,6.229536670326817,9.58325776722613,10.487402320111835,14.409314399014525
provid,3.2733676766688427,11.537086277718396,10.42921974784991,14.141244633889418
selena,11.471992178115322,3.45012468314981,10.34193941046198,6.642255163579565
experi,6.317823855968662,10.356813495061736,10.258142226405484,17.591057856889382
fan,9.511109872691456,3.6725331637361576,10.237308394499191,17.461061866427528
premier,0.14020516370216174,11.644692989348808,10.198550563174988,8.226514329677618
wednesday,3.91098543040151,10.539384050632073,10.138566082798292,8.323996924935066
son,3.84307896110496,9.831188422354227,9.990925329428164,7.241677976832498
black,3.2369798833918755,10.09053703190082,9.97197835618188,10.762088917473315
split,11.750433322812617,-3.4850174157184273,9.942172554280663,11.946987452415144
shock,12.241140513647636,-1.0146989325102795,9.884813823037229,9.799651242847784
p.m,4.5797071499583195,9.894173899494207,9.881503996439498,8.717179134071522
dress,3.3589952936303806,10.061250338316446,9.812242585895694,9.584993249640322
fals,9.64582527357128,2.063437438260073,9.75808659194856,7.953700085341402
despit,11.42521878307139,-6.230784481257578,9.745537022590508,9.371347468876152
accord,10.361470857064807,2.3344471162789193,9.71855667532772,25.006946964461285
photo,4.705984300309064,8.68481073730335,9.66573694768965,10.493206798701436
friday,4.262494496948637,9.125643055970954,9.653504548518674,6.9602613389191434
initi,3.8064473426254977,9.020607230497385,9.60942765793812,8.094475802958923
featur,3.7587108037169745,9.827641577538738,9.4674689878276,15.191884941876678
seem,10.90047246332366,-2.99717915133572,9.44666595421142,11.980646983696264
origin,4.061200687983909,9.516890965040515,9.410106347523229,9.271114949171416
last,-2.661905993368636,12.58097447345687,9.39163162574211,12.15047944932295
bieber,10.225910555315252,3.229750112442259,9.37595454979096,8.307534205782572
alongsid,0.8576090359321479,10.20588937690824,9.373066429412148,8.621362458534735
saturday,3.6349182599925753,9.833309996769287,9.257378826373564,7.439804638250995
kany,9.467953554271547,0.6892376999793396,9.211152574296474,7.325461354529306
clear,10.27834294877254,-1.0620906233643994,9.206646994704334,7.9948154639679165
york,2.044641621425821,10.178109479702,9.164197934932892,7.574266890189227
cast,4.371906567621291,10.292948539991828,9.126597987924557,14.011333035010932
i.m,2.236350638488187,8.65692576565029,9.032400250757131,7.1157864210782575
individu,6.223629120584,8.459541662665513,8.975255764165874,7.80991987253399
relat,1.484960828205393,10.030738605996785,8.958441060063778,8.637013191517784
public,11.497598574065062,-6.993564732258827,8.803560735910631,9.020302614476378
moment,5.469104381806754,7.260024705981605,8.75143552411438,14.552475294666497
caption,4.8248482949874845,7.862656106930439,8.747933874663996,8.754592706469122
fake,9.186790678210688,1.1121072553361198,8.73149420993555,5.616185852390109
also,3.5024569839804895,9.155883162163128,8.707321110555347,18.31886376852342
previous,2.3013338261474385,8.469285405927907,8.541904129015228,9.03587683000072
news,12.164865051232018,-4.876140961022714,8.537509431932747,9.91663547361061
award,2.421836629248518,10.170307181848331,8.522897749203256,9.215009658044144
coupl,9.500513959535272,-2.111001566807001,8.484712764162717,17.91295673669296
she.,8.26287828400519,3.511034726389748,8.439227650684211,7.854529225233892
divorc,9.511665457539264,-3.0969237716185716,8.385696956914236,9.178691578973284
celebr,-0.6543205318218221,10.624899007448994,8.378531510786978,10.171489036815144
charg,6.324684657236808,6.558472356651851,8.374531733579222,5.0345979107270065
collect,1.9206953565558915,9.325236921380084,8.372307020450668,6.124556120518421
donald,7.332268225023841,5.550877747683271,8.34693763670515,5.800181023356279
join,-2.2942850315393235,10.00777911306627,8.34342454337818,9.290312560239393
issu,10.634156100068198,-5.344669924794021,8.268521071075687,6.48558677292684
polic,5.28044334416284,7.2482405823697436,8.251421834530115,5.69386637363841
tweet,6.3672566776301665,4.409358442948978,8.137694163663301,8.382359969565835
